Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,125000,
Gating,49.20800% to 50.147200%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
3.58632e-03,1.64,1.6
3.58640e-03,1.64,1.68
3.58648e-03,1.64,1.6
3.58656e-03,1.6,1.64
3.58664e-03,1.64,1.6
3.58672e-03,1.64,1.68
3.58680e-03,1.64,1.6
3.58688e-03,1.64,1.68
3.58696e-03,1.64,1.6
3.58704e-03,1.64,1.68
3.58712e-03,1.64,1.6
3.58720e-03,1.68,1.68
3.58728e-03,1.68,1.6
3.58736e-03,1.68,1.68
3.58744e-03,1.68,1.64
3.58752e-03,1.68,1.72
3.58760e-03,1.68,1.68
3.58768e-03,1.68,1.72
3.58776e-03,1.68,1.64
3.58784e-03,1.68,1.72
3.58792e-03,1.68,1.64
3.58800e-03,1.64,1.72
3.58808e-03,1.6,1.6
3.58816e-03,1.6,1.68
3.58824e-03,1.64,1.6
3.58832e-03,1.64,1.64
3.58840e-03,1.6,1.6
3.58848e-03,1.64,1.68
3.58856e-03,1.6,1.6
3.58864e-03,1.64,1.68
3.58872e-03,1.68,1.6
3.58880e-03,1.64,1.68
3.58888e-03,1.64,1.6
3.58896e-03,1.64,1.68
3.58904e-03,1.68,1.6
3.58912e-03,1.68,1.68
3.58920e-03,1.68,1.6
3.58928e-03,1.64,1.68
3.58936e-03,1.68,1.64
3.58944e-03,1.68,1.72
3.58952e-03,1.68,1.64
3.58960e-03,1.68,1.72
3.58968e-03,1.68,1.68
3.58976e-03,1.68,1.72
3.58984e-03,1.68,1.64
3.58992e-03,1.64,1.72
3.59000e-03,1.64,1.6
3.59008e-03,1.6,1.68
3.59016e-03,1.6,1.6
3.59024e-03,1.64,1.68
3.59032e-03,1.64,1.6
3.59040e-03,1.64,1.68
3.59048e-03,1.6,1.6
3.59056e-03,1.64,1.68
3.59064e-03,1.64,1.6
3.59072e-03,1.6,1.68
3.59080e-03,1.64,1.6
3.59088e-03,1.64,1.68
3.59096e-03,1.68,1.6
3.59104e-03,1.64,1.68
3.59112e-03,1.68,1.6
3.59120e-03,1.68,1.68
3.59128e-03,1.68,1.64
3.59136e-03,1.68,1.72
3.59144e-03,1.72,1.68
3.59152e-03,1.68,1.72
3.59160e-03,1.68,1.64
3.59168e-03,1.68,1.72
3.59176e-03,1.64,1.64
3.59184e-03,1.64,1.72
3.59192e-03,1.64,1.64
3.59200e-03,1.64,1.68
3.59208e-03,1.64,1.6
3.59216e-03,1.6,1.68
3.59224e-03,1.6,1.6
3.59232e-03,1.64,1.64
3.59240e-03,1.64,1.6
3.59248e-03,1.64,1.68
3.59256e-03,1.64,1.6
3.59264e-03,1.68,1.68
3.59272e-03,1.64,1.6
3.59280e-03,1.6,1.68
3.59288e-03,1.64,1.6
3.59296e-03,1.68,1.68
3.59304e-03,1.68,1.6
3.59312e-03,1.68,1.68
3.59320e-03,1.68,1.64
3.59328e-03,1.68,1.72
3.59336e-03,1.68,1.64
3.59344e-03,1.68,1.72
3.59352e-03,1.68,1.64
3.59360e-03,1.68,1.72
3.59368e-03,1.64,1.68
3.59376e-03,1.64,1.72
3.59384e-03,1.64,1.64
3.59392e-03,1.6,1.68
3.59400e-03,1.64,1.6
3.59408e-03,1.64,1.68
3.59416e-03,1.64,1.6
3.59424e-03,1.64,1.64
3.59432e-03,1.64,1.6
3.59440e-03,1.64,1.68
3.59448e-03,1.64,1.6
3.59456e-03,1.64,1.64
3.59464e-03,1.64,1.6
3.59472e-03,1.64,1.68
3.59480e-03,1.64,1.6
3.59488e-03,1.68,1.68
3.59496e-03,1.68,1.6
3.59504e-03,1.68,1.68
3.59512e-03,1.72,1.64
3.59520e-03,1.72,1.72
3.59528e-03,1.68,1.64
3.59536e-03,1.68,1.72
3.59544e-03,1.68,1.64
3.59552e-03,1.68,1.72
3.59560e-03,1.68,1.64
3.59568e-03,1.68,1.72
3.59576e-03,1.64,1.64
3.59584e-03,1.64,1.72
3.59592e-03,1.64,1.6
3.59600e-03,1.64,1.68
3.59608e-03,1.6,1.6
3.59616e-03,1.64,1.68
3.59624e-03,1.64,1.6
3.59632e-03,1.64,1.68
3.59640e-03,1.64,1.6
3.59648e-03,1.68,1.68
3.59656e-03,1.68,1.6
3.59664e-03,1.64,1.68
3.59672e-03,1.64,1.6
3.59680e-03,1.68,1.68
3.59688e-03,1.68,1.6
3.59696e-03,1.68,1.68
3.59704e-03,1.72,1.64
3.59712e-03,1.72,1.72
3.59720e-03,1.72,1.64
3.59728e-03,1.68,1.72
3.59736e-03,1.68,1.68
3.59744e-03,1.72,1.72
3.59752e-03,1.68,1.68
3.59760e-03,1.68,1.76
3.59768e-03,1.64,1.64
3.59776e-03,1.68,1.72
3.59784e-03,1.68,1.64
3.59792e-03,1.68,1.68
3.59800e-03,1.64,1.6
3.59808e-03,1.64,1.68
3.59816e-03,1.68,1.6
3.59824e-03,1.64,1.68
3.59832e-03,1.68,1.6
3.59840e-03,1.64,1.68
3.59848e-03,1.68,1.6
3.59856e-03,1.64,1.68
3.59864e-03,1.64,1.6
3.59872e-03,1.68,1.68
3.59880e-03,1.68,1.6
3.59888e-03,1.72,1.68
3.59896e-03,1.68,1.64
3.59904e-03,1.72,1.76
3.59912e-03,1.68,1.68
3.59920e-03,1.68,1.76
3.59928e-03,1.72,1.68
3.59936e-03,1.68,1.76
3.59944e-03,1.68,1.68
3.59952e-03,1.68,1.76
3.59960e-03,1.64,1.64
3.59968e-03,1.64,1.72
3.59976e-03,1.64,1.64
3.59984e-03,1.68,1.68
3.59992e-03,1.64,1.6
3.60000e-03,1.68,1.68
3.60008e-03,1.64,1.6
3.60016e-03,1.64,1.68
3.60024e-03,1.68,1.64
3.60032e-03,1.64,1.68
3.60040e-03,1.68,1.64
3.60048e-03,1.64,1.68
3.60056e-03,1.68,1.64
3.60064e-03,1.68,1.72
3.60072e-03,1.68,1.64
3.60080e-03,1.72,1.72
3.60088e-03,1.72,1.64
3.60096e-03,1.72,1.72
3.60104e-03,1.72,1.68
3.60112e-03,1.68,1.76
3.60120e-03,1.72,1.68
3.60128e-03,1.72,1.76
3.60136e-03,1.68,1.68
3.60144e-03,1.68,1.76
3.60152e-03,1.68,1.64
3.60160e-03,1.68,1.72
3.60168e-03,1.64,1.64
3.60176e-03,1.68,1.68
3.60184e-03,1.68,1.64
3.60192e-03,1.68,1.68
3.60200e-03,1.64,1.6
3.60208e-03,1.68,1.68
3.60216e-03,1.68,1.64
3.60224e-03,1.68,1.68
3.60232e-03,1.68,1.64
3.60240e-03,1.64,1.68
3.60248e-03,1.68,1.64
3.60256e-03,1.68,1.68
3.60264e-03,1.68,1.64
3.60272e-03,1.68,1.68
3.60280e-03,1.76,1.64
3.60288e-03,1.72,1.72
3.60296e-03,1.72,1.68
3.60304e-03,1.72,1.76
3.60312e-03,1.72,1.68
3.60320e-03,1.72,1.76
3.60328e-03,1.68,1.68
3.60336e-03,1.68,1.76
3.60344e-03,1.68,1.68
3.60352e-03,1.68,1.72
3.60360e-03,1.68,1.64
3.60368e-03,1.68,1.72
3.60376e-03,1.68,1.64
3.60384e-03,1.68,1.68
3.60392e-03,1.68,1.6
3.60400e-03,1.64,1.68
3.60408e-03,1.68,1.64
3.60416e-03,1.64,1.68
3.60424e-03,1.68,1.64
3.60432e-03,1.68,1.68
3.60440e-03,1.68,1.64
3.60448e-03,1.68,1.72
3.60456e-03,1.68,1.64
3.60464e-03,1.72,1.72
3.60472e-03,1.72,1.64
3.60480e-03,1.72,1.72
3.60488e-03,1.72,1.68
3.60496e-03,1.72,1.76
3.60504e-03,1.72,1.68
3.60512e-03,1.72,1.76
3.60520e-03,1.72,1.68
3.60528e-03,1.68,1.76
3.60536e-03,1.68,1.68
3.60544e-03,1.68,1.76
3.60552e-03,1.68,1.64
3.60560e-03,1.68,1.72
3.60568e-03,1.68,1.64
3.60576e-03,1.68,1.68
3.60584e-03,1.68,1.64
3.60592e-03,1.68,1.68
3.60600e-03,1.68,1.64
3.60608e-03,1.68,1.72
3.60616e-03,1.68,1.64
3.60624e-03,1.68,1.72
3.60632e-03,1.68,1.64
3.60640e-03,1.64,1.72
3.60648e-03,1.68,1.64
3.60656e-03,1.72,1.72
3.60664e-03,1.72,1.64
3.60672e-03,1.72,1.72
3.60680e-03,1.72,1.68
3.60688e-03,1.72,1.76
3.60696e-03,1.72,1.68
3.60704e-03,1.72,1.76
3.60712e-03,1.72,1.68
3.60720e-03,1.72,1.76
3.60728e-03,1.68,1.68
3.60736e-03,1.68,1.76
3.60744e-03,1.68,1.64
3.60752e-03,1.64,1.72
3.60760e-03,1.68,1.64
3.60768e-03,1.68,1.68
3.60776e-03,1.68,1.64
3.60784e-03,1.68,1.68
3.60792e-03,1.68,1.64
3.60800e-03,1.68,1.72
3.60808e-03,1.68,1.64
3.60816e-03,1.68,1.68
3.60824e-03,1.68,1.64
3.60832e-03,1.68,1.72
3.60840e-03,1.68,1.64
3.60848e-03,1.72,1.72
3.60856e-03,1.76,1.64
3.60864e-03,1.72,1.72
3.60872e-03,1.76,1.68
3.60880e-03,1.72,1.76
3.60888e-03,1.72,1.68
3.60896e-03,1.72,1.76
3.60904e-03,1.72,1.68
3.60912e-03,1.68,1.76
3.60920e-03,1.68,1.68
3.60928e-03,1.68,1.76
3.60936e-03,1.68,1.64
3.60944e-03,1.68,1.72
3.60952e-03,1.68,1.64
3.60960e-03,1.68,1.72
3.60968e-03,1.68,1.6
3.60976e-03,1.68,1.68
3.60984e-03,1.68,1.64
3.60992e-03,1.68,1.68
3.61000e-03,1.68,1.64
3.61008e-03,1.68,1.68
3.61016e-03,1.64,1.6
3.61024e-03,1.68,1.72
3.61032e-03,1.68,1.64
3.61040e-03,1.72,1.68
3.61048e-03,1.72,1.64
3.61056e-03,1.72,1.72
3.61064e-03,1.68,1.68
3.61072e-03,1.68,1.76
3.61080e-03,1.72,1.68
3.61088e-03,1.72,1.76
3.61096e-03,1.68,1.68
3.61104e-03,1.68,1.76
3.61112e-03,1.68,1.68
3.61120e-03,1.64,1.76
3.61128e-03,1.68,1.64
3.61136e-03,1.64,1.72
3.61144e-03,1.64,1.6
3.61152e-03,1.68,1.68
3.61160e-03,1.64,1.6
3.61168e-03,1.64,1.68
3.61176e-03,1.64,1.6
3.61184e-03,1.64,1.68
3.61192e-03,1.64,1.6
3.61200e-03,1.64,1.68
3.61208e-03,1.64,1.6
3.61216e-03,1.64,1.72
3.61224e-03,1.64,1.6
3.61232e-03,1.68,1.68
3.61240e-03,1.72,1.6
3.61248e-03,1.72,1.72
3.61256e-03,1.72,1.64
3.61264e-03,1.72,1.72
3.61272e-03,1.72,1.68
3.61280e-03,1.72,1.72
3.61288e-03,1.72,1.64
3.61296e-03,1.68,1.76
3.61304e-03,1.68,1.64
3.61312e-03,1.64,1.72
3.61320e-03,1.64,1.64
3.61328e-03,1.64,1.72
3.61336e-03,1.64,1.6
3.61344e-03,1.64,1.68
3.61352e-03,1.64,1.6
3.61360e-03,1.64,1.68
3.61368e-03,1.64,1.6
3.61376e-03,1.64,1.68
3.61384e-03,1.64,1.6
3.61392e-03,1.68,1.68
3.61400e-03,1.64,1.6
3.61408e-03,1.64,1.68
3.61416e-03,1.64,1.6
3.61424e-03,1.68,1.68
3.61432e-03,1.68,1.6
3.61440e-03,1.72,1.68
3.61448e-03,1.72,1.64
3.61456e-03,1.72,1.72
3.61464e-03,1.72,1.68

