Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,125000,
Gating,49.20800% to 50.147200%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
3.53592e-03,1.64,1.64
3.53600e-03,1.64,1.72
3.53608e-03,1.64,1.6
3.53616e-03,1.64,1.68
3.53624e-03,1.68,1.6
3.53632e-03,1.64,1.68
3.53640e-03,1.68,1.6
3.53648e-03,1.64,1.68
3.53656e-03,1.68,1.6
3.53664e-03,1.64,1.68
3.53672e-03,1.64,1.6
3.53680e-03,1.68,1.68
3.53688e-03,1.68,1.6
3.53696e-03,1.68,1.68
3.53704e-03,1.68,1.6
3.53712e-03,1.68,1.72
3.53720e-03,1.68,1.64
3.53728e-03,1.68,1.72
3.53736e-03,1.68,1.68
3.53744e-03,1.72,1.76
3.53752e-03,1.68,1.68
3.53760e-03,1.68,1.72
3.53768e-03,1.64,1.64
3.53776e-03,1.6,1.72
3.53784e-03,1.64,1.6
3.53792e-03,1.64,1.68
3.53800e-03,1.64,1.6
3.53808e-03,1.68,1.68
3.53816e-03,1.64,1.6
3.53824e-03,1.64,1.68
3.53832e-03,1.64,1.6
3.53840e-03,1.68,1.68
3.53848e-03,1.64,1.6
3.53856e-03,1.64,1.68
3.53864e-03,1.64,1.6
3.53872e-03,1.64,1.68
3.53880e-03,1.64,1.6
3.53888e-03,1.68,1.68
3.53896e-03,1.68,1.6
3.53904e-03,1.72,1.68
3.53912e-03,1.68,1.64
3.53920e-03,1.68,1.72
3.53928e-03,1.72,1.64
3.53936e-03,1.68,1.72
3.53944e-03,1.68,1.64
3.53952e-03,1.68,1.72
3.53960e-03,1.68,1.64
3.53968e-03,1.64,1.72
3.53976e-03,1.64,1.6
3.53984e-03,1.64,1.68
3.53992e-03,1.64,1.6
3.54000e-03,1.64,1.68
3.54008e-03,1.64,1.6
3.54016e-03,1.64,1.64
3.54024e-03,1.64,1.6
3.54032e-03,1.64,1.68
3.54040e-03,1.64,1.6
3.54048e-03,1.64,1.68
3.54056e-03,1.64,1.6
3.54064e-03,1.64,1.68
3.54072e-03,1.64,1.6
3.54080e-03,1.68,1.68
3.54088e-03,1.68,1.6
3.54096e-03,1.68,1.68
3.54104e-03,1.68,1.6
3.54112e-03,1.68,1.72
3.54120e-03,1.68,1.64
3.54128e-03,1.68,1.72
3.54136e-03,1.68,1.64
3.54144e-03,1.68,1.72
3.54152e-03,1.68,1.64
3.54160e-03,1.68,1.72
3.54168e-03,1.64,1.64
3.54176e-03,1.64,1.68
3.54184e-03,1.64,1.6
3.54192e-03,1.64,1.68
3.54200e-03,1.64,1.6
3.54208e-03,1.64,1.64
3.54216e-03,1.64,1.6
3.54224e-03,1.64,1.68
3.54232e-03,1.64,1.6
3.54240e-03,1.64,1.68
3.54248e-03,1.64,1.6
3.54256e-03,1.6,1.68
3.54264e-03,1.64,1.6
3.54272e-03,1.68,1.68
3.54280e-03,1.68,1.6
3.54288e-03,1.68,1.68
3.54296e-03,1.68,1.64
3.54304e-03,1.72,1.72
3.54312e-03,1.68,1.64
3.54320e-03,1.72,1.72
3.54328e-03,1.68,1.64
3.54336e-03,1.68,1.72
3.54344e-03,1.68,1.64
3.54352e-03,1.64,1.72
3.54360e-03,1.64,1.6
3.54368e-03,1.64,1.68
3.54376e-03,1.64,1.6
3.54384e-03,1.64,1.68
3.54392e-03,1.64,1.6
3.54400e-03,1.64,1.68
3.54408e-03,1.64,1.6
3.54416e-03,1.6,1.68
3.54424e-03,1.64,1.56
3.54432e-03,1.68,1.68
3.54440e-03,1.64,1.6
3.54448e-03,1.64,1.68
3.54456e-03,1.64,1.6
3.54464e-03,1.68,1.68
3.54472e-03,1.68,1.6
3.54480e-03,1.68,1.68
3.54488e-03,1.72,1.6
3.54496e-03,1.72,1.72
3.54504e-03,1.72,1.68
