Model,MSO2024
Firmware Version,1.35
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0002
Sample Interval,1.60E-08
Filter Frequency,2.00E+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,MATH
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.04
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.08
-9.94E-04,-0.08
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.08
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.08
-9.94E-04,-0.08
-9.94E-04,-0.08
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.08
-9.94E-04,-0.08
-9.94E-04,-0.04
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.08
-9.94E-04,-0.12
-9.94E-04,-0.08
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.04
-9.94E-04,-0.12
-9.94E-04,-0.12
-9.94E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,0
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.08
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.08
-9.93E-04,-0.04
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.12
-9.93E-04,-0.12
-9.93E-04,-0.08
-9.93E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.04
-9.92E-04,-0.2
-9.92E-04,-0.04
-9.92E-04,-0.2
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,0
-9.92E-04,-0.12
-9.92E-04,-0.04
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.04
-9.92E-04,-0.04
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.04
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,0
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,0
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.12
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.92E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.2
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.2
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,0
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.04
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.04
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.91E-04,-0.12
-9.91E-04,-0.08
-9.91E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.08
-9.90E-04,-0.16
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.08
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.16
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.08
-9.90E-04,-0.08
-9.90E-04,-0.08
-9.90E-04,-0.04
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,0
-9.90E-04,-0.04
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,0
-9.90E-04,-0.12
-9.90E-04,-0.08
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.90E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.08
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.08
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.08
-9.89E-04,-0.2
-9.89E-04,0
-9.89E-04,-0.2
-9.89E-04,0
-9.89E-04,-0.12
-9.89E-04,-0.08
-9.89E-04,-0.12
-9.89E-04,-0.08
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,0
-9.89E-04,-0.08
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,0
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.08
-9.89E-04,-0.08
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.2
-9.89E-04,0.16
-9.89E-04,-0.12
-9.89E-04,-0.2
-9.89E-04,-0.08
-9.89E-04,0
-9.89E-04,-0.04
-9.89E-04,-0.12
-9.89E-04,0
-9.89E-04,-0.16
-9.89E-04,-0.08
-9.89E-04,-0.12
-9.89E-04,-0.2
-9.89E-04,0.04
-9.89E-04,-0.04
-9.89E-04,-0.2
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,-0.12
-9.89E-04,0.04
-9.89E-04,-0.2
-9.88E-04,-0.08
-9.88E-04,0
-9.88E-04,-0.12
-9.88E-04,-0.04
-9.88E-04,-0.08
-9.88E-04,-0.04
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.04
-9.88E-04,-0.2
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.04
-9.88E-04,-0.04
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.04
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.08
-9.88E-04,-0.08
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.12
-9.88E-04,-0.04
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.08
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.2
-9.87E-04,-0.16
-9.87E-04,-0.08
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.08
-9.87E-04,-0.08
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.08
-9.87E-04,-0.12
-9.87E-04,0
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.04
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.08
-9.87E-04,-0.04
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.16
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.04
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.04
-9.87E-04,-0.08
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.08
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.12
-9.87E-04,-0.08
-9.87E-04,-0.08
-9.87E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.08
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.04
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.08
-9.86E-04,-0.04
-9.86E-04,-0.08
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.04
-9.86E-04,-0.08
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.04
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.04
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.08
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.86E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.04
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.08
-9.85E-04,-0.04
-9.85E-04,-0.08
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.04
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.04
-9.85E-04,-0.2
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.08
-9.85E-04,-0.08
-9.85E-04,-0.08
-9.85E-04,-0.04
-9.85E-04,-0.12
-9.85E-04,-0.04
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,0
-9.85E-04,-0.16
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.04
-9.85E-04,-0.08
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.08
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.12
-9.85E-04,-0.08
-9.85E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.04
-9.84E-04,-0.12
-9.84E-04,-0.04
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.04
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.04
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.04
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.08
-9.84E-04,-0.08
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.84E-04,-0.12
-9.83E-04,-0.04
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.04
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.08
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.04
-9.83E-04,-0.08
-9.83E-04,0
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.04
-9.83E-04,-0.2
-9.83E-04,-0.04
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.16
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.12
-9.83E-04,-0.08
-9.83E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.08
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.08
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.08
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.08
-9.82E-04,-0.08
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.04
-9.82E-04,-0.08
-9.82E-04,-0.08
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,0
-9.82E-04,-0.2
-9.82E-04,-0.04
-9.82E-04,-0.12
-9.82E-04,-0.08
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.04
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.08
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.04
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.12
-9.82E-04,-0.04
-9.82E-04,-0.12
-9.82E-04,-0.08
-9.81E-04,-0.08
-9.81E-04,0
-9.81E-04,-0.2
-9.81E-04,-0.08
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.08
-9.81E-04,-0.08
-9.81E-04,-0.08
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.08
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.08
-9.81E-04,-0.04
-9.81E-04,-0.12
-9.81E-04,-0.08
-9.81E-04,-0.12
-9.81E-04,-0.08
-9.81E-04,-0.12
-9.81E-04,-0.04
-9.81E-04,-0.08
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.12
-9.81E-04,-0.08
