1206
start=856342,samples=10;1104,80,0,144,0,208,-848,32,-160,-176,;
start=914861,samples=5;-192,-144,-80,-144,-176,;
start=997638,samples=8;-256,-64,-96,-256,-64,-48,-48,272,;
start=997775,samples=1;144,;
start=998284,samples=10;-240,-160,-32,-224,-176,-112,-240,-256,-176,-176,;
start=998424,samples=4;160,112,112,224,;
start=1007342,samples=7;224,48,80,160,64,256,176,;
start=1007442,samples=6;144,176,0,-64,80,256,;
start=1013438,samples=1;192,;
start=1018786,samples=6;160,128,16,-32,96,208,;
start=1018889,samples=1;176,;
start=1027598,samples=8;-176,0,128,48,32,48,96,256,;
start=1027702,samples=2;160,192,;
start=1032134,samples=1;144,;
